"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"16/10/2017","64.475","64.500","65.350","64.000","1,72M","0,43%"
"13/10/2017","64.200","66.000","66.000","64.125","1,91M","-2,13%"
"12/10/2017","65.600","65.825","66.250","65.350","1,93M","-0,61%"
"11/10/2017","66.000","66.000","66.250","65.500","1,21M","-0,38%"
"10/10/2017","66.250","67.500","67.700","66.025","1,16M","-2,32%"
"09/10/2017","67.825","66.125","67.900","66.100","850,60K","2,11%"
"06/10/2017","66.425","66.000","66.725","65.300","849,80K","0,87%"
"05/10/2017","65.850","66.700","66.700","65.500","1,28M","-1,01%"
"04/10/2017","66.525","65.700","66.750","65.700","657,80K","1,26%"
"03/10/2017","65.700","64.775","66.675","64.750","1,18M","1,43%"
"02/10/2017","64.775","65.850","66.325","64.650","1,19M","-1,56%"
"29/09/2017","65.800","65.650","66.175","65.650","739,70K","0,34%"
"28/09/2017","65.575","65.575","66.200","65.575","635,60K","0,00%"
"27/09/2017","65.575","65.600","66.100","65.500","980,30K","-0,15%"
"26/09/2017","65.675","67.050","67.050","65.600","878,20K","-2,20%"
"25/09/2017","67.150","68.000","68.000","66.525","449,70K","-1,25%"
"22/09/2017","68.000","68.000","68.550","67.500","913,10K","-1,38%"
"20/09/2017","68.950","67.375","68.950","67.300","448,10K","2,72%"
"19/09/2017","67.125","67.000","67.750","66.850","652,80K","-0,96%"
"18/09/2017","67.775","68.000","68.400","66.875","542,10K","-0,33%"
"15/09/2017","68.000","69.225","69.550","67.525","1,78M","-1,81%"
"14/09/2017","69.250","65.600","69.400","65.600","2,05M","5,60%"
"13/09/2017","65.575","65.600","66.200","65.575","903,60K","0,00%"
"12/09/2017","65.575","66.175","66.200","65.550","903,40K","-0,83%"
"11/09/2017","66.125","66.300","66.400","65.800","924,30K","-0,19%"
"08/09/2017","66.250","67.100","67.125","65.775","1,90M","-1,30%"
"07/09/2017","67.125","67.000","67.500","66.900","781,00K","0,64%"
"06/09/2017","66.700","66.100","67.275","65.500","1,13M","0,91%"
"05/09/2017","66.100","67.100","67.400","65.750","1,41M","-1,38%"
"04/09/2017","67.025","69.200","69.200","67.025","868,40K","-3,14%"
"31/08/2017","69.200","68.900","69.200","67.875","829,40K","0,51%"
"30/08/2017","68.850","71.300","71.300","68.500","1,74M","-3,71%"
"29/08/2017","71.500","71.550","71.750","71.200","578,20K","-0,21%"
"28/08/2017","71.650","71.775","71.975","71.400","251,50K","-0,45%"
"25/08/2017","71.975","70.500","72.100","70.400","880,40K","0,95%"
"24/08/2017","71.300","71.500","71.500","71.000","681,00K","0,28%"
"23/08/2017","71.100","71.000","71.725","70.525","878,40K","0,85%"
"22/08/2017","70.500","72.500","72.600","70.500","937,30K","-2,49%"
"21/08/2017","72.300","73.975","73.975","71.275","923,10K","-2,30%"
"18/08/2017","74.000","71.500","74.975","69.700","3,39M","4,30%"
"16/08/2017","70.950","67.325","71.000","67.325","2,16M","5,38%"
"15/08/2017","67.325","66.800","67.600","66.550","1,15M","0,79%"
"14/08/2017","66.800","66.700","67.225","66.225","1,31M","1,37%"
"11/08/2017","65.900","66.700","66.700","65.700","1,17M","-1,49%"
"10/08/2017","66.900","66.575","67.450","65.500","2,26M","0,90%"
"09/08/2017","66.300","68.600","68.600","65.975","3,62M","-3,63%"
"08/08/2017","68.800","69.650","69.725","68.325","1,71M","-1,01%"
"07/08/2017","69.500","72.200","72.375","69.100","2,05M","-3,00%"
"04/08/2017","71.650","71.100","71.900","69.675","1,26M","0,77%"
"03/08/2017","71.100","70.400","71.400","70.400","1,24M","0,99%"
"02/08/2017","70.400","72.400","72.500","70.200","2,47M","-2,59%"
"01/08/2017","72.275","76.700","76.700","72.200","1,64M","-5,03%"
"31/07/2017","76.100","79.800","79.800","75.650","1,84M","-4,64%"
"28/07/2017","79.800","78.300","80.050","77.850","976,10K","2,31%"
"27/07/2017","78.000","76.650","78.925","76.500","756,40K","2,50%"
"26/07/2017","76.100","76.850","77.000","76.075","699,80K","-0,69%"
"25/07/2017","76.625","76.500","76.750","75.650","670,30K","-0,42%"
"24/07/2017","76.950","75.700","77.200","75.675","857,90K","1,65%"
"21/07/2017","75.700","76.450","76.500","75.650","401,40K","-0,72%"
"20/07/2017","76.250","75.700","76.400","75.700","467,00K","0,13%"
"19/07/2017","76.150","76.500","76.525","75.850","616,50K","-0,78%"
"18/07/2017","76.750","75.825","76.750","75.825","321,30K","1,25%"
"17/07/2017","75.800","76.475","76.475","75.575","940,00K","-0,46%"
"14/07/2017","76.150","78.200","78.375","76.050","715,50K","-3,49%"
"13/07/2017","78.900","78.000","79.300","78.000","351,80K","0,90%"
"12/07/2017","78.200","76.500","79.300","76.000","718,90K","3,13%"
"11/07/2017","75.825","76.500","76.525","75.575","490,90K","-0,88%"
"10/07/2017","76.500","76.300","76.725","75.850","281,90K","0,20%"
"07/07/2017","76.350","78.000","78.000","75.850","999,20K","-1,96%"
"06/07/2017","77.875","76.000","78.000","75.925","713,80K","2,74%"
"05/07/2017","75.800","78.500","78.600","75.000","790,80K","-3,44%"
"04/07/2017","78.500","79.500","79.725","78.325","764,20K","-3,44%"
"03/07/2017","81.300","78.900","81.300","78.750","1,56M","3,83%"
"22/06/2017","78.300","79.450","79.450","77.600","751,30K","-0,13%"
"21/06/2017","78.400","79.350","79.400","77.775","870,80K","-1,26%"
"20/06/2017","79.400","79.650","79.850","79.025","1,05M","-0,63%"
"19/06/2017","79.900","79.025","80.075","79.025","1,22M","1,14%"
"16/06/2017","79.000","79.000","79.750","79.000","1,40M","-1,25%"
"15/06/2017","80.000","78.800","80.325","77.825","1,08M","1,27%"
"14/06/2017","79.000","77.600","79.000","77.600","967,00K","1,71%"
"13/06/2017","77.675","77.750","78.500","77.275","515,50K","-0,10%"
"12/06/2017","77.750","75.000","78.050","74.900","838,50K","2,98%"
"09/06/2017","75.500","74.800","75.875","74.450","735,80K","0,73%"
"08/06/2017","74.950","74.525","75.375","74.525","500,00K","-0,73%"
"07/06/2017","75.500","74.000","75.500","74.000","664,20K","1,48%"
"06/06/2017","74.400","75.000","75.000","73.400","904,80K","0,13%"
"05/06/2017","74.300","74.500","75.175","74.025","375,90K","-0,27%"
"02/06/2017","74.500","73.800","75.450","73.200","514,10K","0,74%"
"31/05/2017","73.950","73.750","75.000","73.400","2,19M","0,61%"
"30/05/2017","73.500","73.425","75.050","73.425","796,60K","0,14%"
"29/05/2017","73.400","74.000","74.525","73.275","297,00K","-1,18%"
"26/05/2017","74.275","75.200","75.275","73.600","639,60K","0,92%"
"24/05/2017","73.600","72.775","75.025","72.100","674,80K","0,68%"
"23/05/2017","73.100","74.250","74.275","72.025","1,16M","-1,55%"
"22/05/2017","74.250","76.000","78.475","72.800","1,66M","-2,94%"
"19/05/2017","76.500","73.000","77.975","72.875","1,38M","6,21%"
"18/05/2017","72.025","69.200","72.550","69.200","804,70K","2,75%"
"17/05/2017","70.100","70.450","71.350","69.975","675,80K","-0,57%"
"16/05/2017","70.500","73.700","73.700","70.500","643,30K","-4,21%"
"15/05/2017","73.600","73.875","74.000","72.850","677,90K","-0,41%"
"12/05/2017","73.900","70.975","74.000","70.925","1,54M","4,12%"
"10/05/2017","70.975","70.425","71.975","69.500","856,60K","-0,32%"
"09/05/2017","71.200","70.000","72.000","70.000","881,60K","1,71%"
"08/05/2017","70.000","71.300","71.400","69.950","936,50K","-1,96%"
"05/05/2017","71.400","67.825","71.475","67.700","1,68M","5,00%"
"04/05/2017","68.000","67.850","68.000","67.000","540,40K","0,29%"
"03/05/2017","67.800","67.400","68.125","67.400","938,70K","0,97%"
"02/05/2017","67.150","66.400","67.250","66.325","896,30K","1,13%"
"28/04/2017","66.400","66.300","67.525","65.950","828,10K","0,00%"
"27/04/2017","66.400","65.800","67.000","65.025","821,50K","0,68%"
"26/04/2017","65.950","65.000","65.950","64.050","1,20M","2,25%"
"25/04/2017","64.500","64.200","64.500","63.650","844,10K","0,47%"
"21/04/2017","64.200","63.750","64.450","63.500","634,10K","0,98%"
"20/04/2017","63.575","64.600","64.625","63.500","1,03M","-2,04%"
"18/04/2017","64.900","64.800","65.100","64.800","876,60K","0,46%"
"17/04/2017","64.600","65.000","65.000","64.400","528,50K","-0,12%"
"13/04/2017","64.675","65.200","65.225","64.525","382,80K","-0,42%"
"12/04/2017","64.950","65.450","65.500","64.500","862,60K","-0,76%"
"11/04/2017","65.450","66.275","66.750","65.450","672,50K","-2,31%"
"10/04/2017","67.000","67.850","67.950","66.750","606,10K","-1,76%"
"07/04/2017","68.200","68.250","68.250","67.850","560,30K","0,29%"
"06/04/2017","68.000","67.625","68.575","67.625","1,29M","0,07%"
"05/04/2017","67.950","67.700","67.975","67.000","999,20K","0,37%"
"04/04/2017","67.700","67.200","67.725","66.875","820,30K","1,50%"
"03/04/2017","66.700","65.025","67.300","65.025","709,80K","1,79%"
"31/03/2017","65.525","66.900","66.900","65.500","587,60K","-1,76%"
"30/03/2017","66.700","65.400","66.700","65.075","882,70K","1,83%"
"29/03/2017","65.500","64.500","65.500","64.500","400,50K","1,55%"
"27/03/2017","64.500","64.500","65.225","64.400","589,80K","-0,65%"
"24/03/2017","64.925","65.025","65.600","64.850","399,30K","-0,80%"
"23/03/2017","65.450","65.800","65.950","65.400","475,10K","0,04%"
"22/03/2017","65.425","65.650","65.650","65.200","997,60K","-0,57%"
"21/03/2017","65.800","65.300","66.000","65.200","1,13M","0,53%"
"20/03/2017","65.450","65.650","65.650","65.225","255,60K","0,31%"
"17/03/2017","65.250","65.700","65.950","64.925","1,45M","0,31%"
"16/03/2017","65.050","64.900","65.400","64.700","812,30K","0,93%"
"15/03/2017","64.450","64.300","64.825","63.725","640,20K","-0,04%"
"14/03/2017","64.475","63.000","64.500","62.925","594,80K","2,34%"
"13/03/2017","63.000","63.425","63.500","62.475","348,30K","-0,79%"
"10/03/2017","63.500","63.875","63.950","62.850","333,00K","-0,20%"
"09/03/2017","63.625","62.825","63.625","62.400","284,50K","1,27%"
"08/03/2017","62.825","62.500","63.475","62.150","716,60K","-0,04%"
"07/03/2017","62.850","64.200","64.200","62.500","756,40K","-0,87%"
"06/03/2017","63.400","64.400","64.425","63.250","768,10K","-1,67%"
"03/03/2017","64.475","64.600","65.075","64.475","747,50K","-2,09%"
"02/03/2017","65.850","64.700","66.000","64.700","853,40K","1,90%"
"01/03/2017","64.625","66.000","66.000","64.300","887,70K","-1,86%"
"28/02/2017","65.850","65.750","66.000","64.075","838,30K","0,15%"
"27/02/2017","65.750","65.250","66.000","64.700","1,29M","1,15%"
"24/02/2017","65.000","63.250","65.050","62.600","2,20M","2,97%"
"23/02/2017","63.125","62.225","63.300","62.225","1,20M","1,49%"
"22/02/2017","62.200","60.150","62.375","60.075","1,56M","3,41%"
"21/02/2017","60.150","60.500","60.525","60.050","941,90K","-0,58%"
"20/02/2017","60.500","60.500","61.200","60.425","239,50K","-0,49%"
"17/02/2017","60.800","61.000","61.100","60.350","529,50K","-0,33%"
"16/02/2017","61.000","61.675","62.075","60.775","856,80K","-0,81%"
"14/02/2017","61.500","62.000","62.000","61.500","397,80K","-0,81%"
"13/02/2017","62.000","62.000","62.475","61.425","731,70K","0,00%"
"10/02/2017","62.000","62.000","62.500","61.800","757,20K","-0,64%"
"09/02/2017","62.400","62.850","62.850","61.875","757,90K","-0,32%"
"08/02/2017","62.600","62.800","62.800","62.500","637,20K","0,16%"
"07/02/2017","62.500","62.475","62.625","61.875","750,30K","1,05%"
"06/02/2017","61.850","62.000","62.000","61.800","504,90K","0,08%"
"03/02/2017","61.800","62.000","62.000","61.550","582,50K","-0,32%"
"02/02/2017","62.000","62.725","62.725","61.800","542,30K","-1,12%"
"01/02/2017","62.700","62.300","62.800","62.000","608,20K","1,54%"
"31/01/2017","61.750","63.300","63.300","61.750","649,00K","-1,67%"
"30/01/2017","62.800","62.800","63.400","62.700","204,40K","0,00%"
"27/01/2017","62.800","63.750","63.750","62.700","373,40K","-0,95%"
"26/01/2017","63.400","63.900","63.900","63.225","290,00K","0,63%"
"25/01/2017","63.000","63.750","63.750","63.000","309,30K","-1,18%"
"24/01/2017","63.750","63.475","63.800","63.375","406,30K","0,43%"
"23/01/2017","63.475","63.000","63.500","62.975","288,70K","1,56%"
"20/01/2017","62.500","63.400","63.475","62.500","326,00K","-1,42%"
"19/01/2017","63.400","63.700","63.725","63.250","356,70K","0,63%"
"18/01/2017","63.000","62.600","63.900","62.600","296,40K","0,80%"
"17/01/2017","62.500","63.250","63.450","62.500","269,00K","-1,11%"
"16/01/2017","63.200","62.800","64.075","62.800","445,00K","0,24%"
"13/01/2017","63.050","63.775","63.925","63.025","531,40K","-0,32%"
"12/01/2017","63.250","63.700","63.975","63.250","370,30K","0,16%"
"11/01/2017","63.150","63.200","63.200","63.025","334,50K","0,24%"
"10/01/2017","63.000","63.700","63.700","63.000","620,00K","-0,94%"
"09/01/2017","63.600","64.775","64.850","63.125","397,30K","-1,28%"
"06/01/2017","64.425","65.450","65.450","63.900","339,10K","-1,79%"
"05/01/2017","65.600","63.200","65.600","63.200","1,02M","3,80%"
"04/01/2017","63.200","63.400","64.450","62.300","578,80K","-0,16%"
"03/01/2017","63.300","63.650","64.350","63.100","340,70K","-0,94%"
"30/12/2016","63.900","63.350","64.400","63.350","465,30K","-0,16%"
"29/12/2016","64.000","63.200","64.125","62.900","673,40K","0,23%"
"28/12/2016","63.850","62.900","64.150","62.900","645,30K","1,51%"
"27/12/2016","62.900","60.700","63.100","60.700","622,50K","4,31%"
"23/12/2016","60.300","60.025","61.325","60.025","592,40K","-0,90%"
"22/12/2016","60.850","62.025","62.125","60.800","653,20K","-1,85%"
"21/12/2016","62.000","62.000","62.900","61.900","1,05M","-1,55%"
"20/12/2016","62.975","63.550","63.900","62.950","584,40K","-1,45%"
"19/12/2016","63.900","65.200","65.200","63.800","781,40K","-2,52%"
"16/12/2016","65.550","66.300","66.325","65.100","826,80K","-1,13%"
"15/12/2016","66.300","66.700","67.125","66.000","601,30K","-1,08%"
"14/12/2016","67.025","66.850","67.375","66.500","343,70K","0,26%"
"13/12/2016","66.850","66.200","67.300","66.200","521,80K","-0,15%"
"09/12/2016","66.950","66.000","67.525","66.000","247,80K","-0,81%"
"08/12/2016","67.500","65.500","67.500","65.500","1,04M","3,13%"
"07/12/2016","65.450","67.000","67.000","65.050","1,15M","-2,97%"
"06/12/2016","67.450","67.575","67.700","67.150","586,30K","-0,18%"
"05/12/2016","67.575","65.500","67.750","65.500","750,40K","1,88%"
"02/12/2016","66.325","65.200","66.425","64.725","666,40K","2,04%"
"01/12/2016","65.000","65.000","65.100","64.300","844,80K","0,00%"
"30/11/2016","65.000","63.450","65.000","63.000","1,99M","3,09%"
"29/11/2016","63.050","62.775","63.150","62.775","1,27M","0,44%"
"28/11/2016","62.775","62.600","62.875","62.600","295,40K","0,56%"
"25/11/2016","62.425","64.375","64.375","61.800","604,80K","-0,12%"
"24/11/2016","62.500","63.800","64.075","62.500","797,30K","-3,10%"
"23/11/2016","64.500","63.750","64.825","63.700","1,30M","0,00%"
"22/11/2016","64.500","62.500","64.525","62.500","697,10K","2,38%"
"21/11/2016","63.000","62.800","63.800","62.525","868,00K","-0,16%"
"18/11/2016","63.100","62.500","63.100","62.300","608,90K","0,20%"
"17/11/2016","62.975","62.975","62.975","62.050","470,50K","0,76%"
"16/11/2016","62.500","61.150","63.025","61.150","931,80K","2,25%"
"15/11/2016","61.125","61.450","62.000","60.725","1,48M","-0,77%"
"14/11/2016","61.600","63.800","63.825","61.425","2,47M","-3,98%"
"11/11/2016","64.150","66.000","66.600","64.150","1,35M","-5,59%"
"10/11/2016","67.950","67.350","68.150","67.200","1,03M","1,12%"
"09/11/2016","67.200","67.950","68.000","65.950","592,80K","-1,10%"
"08/11/2016","67.950","66.725","68.000","65.800","1,23M","2,22%"
"07/11/2016","66.475","66.000","66.950","65.050","815,50K","-0,86%"
"04/11/2016","67.050","64.750","67.050","63.500","1,70M","3,15%"
"03/11/2016","65.000","67.250","67.425","65.000","1,06M","-4,76%"
"02/11/2016","68.250","67.950","68.250","67.100","674,60K","0,37%"
"01/11/2016","68.000","68.050","68.400","67.500","1,12M","0,15%"
"31/10/2016","67.900","66.500","67.975","66.000","1,47M","2,88%"
"28/10/2016","66.000","65.650","66.250","65.650","363,50K","-0,60%"
"27/10/2016","66.400","65.500","66.500","65.325","483,60K","1,76%"
"26/10/2016","65.250","65.325","65.500","64.875","550,40K","0,04%"
"25/10/2016","65.225","66.350","66.350","65.150","473,90K","-0,99%"
"24/10/2016","65.875","65.475","66.400","65.300","658,20K","0,61%"
"21/10/2016","65.475","65.000","66.700","64.800","2,79M","0,50%"
"20/10/2016","65.150","65.825","65.925","65.150","743,70K","-1,70%"
"19/10/2016","66.275","66.025","66.425","65.725","1,13M","0,15%"
"18/10/2016","66.175","65.700","66.375","65.300","722,90K","1,65%"
"17/10/2016","65.100","64.850","65.550","64.100","904,10K","0,46%"
"14/10/2016","64.800","65.000","65.525","64.800","876,20K","-0,19%"
"13/10/2016","64.925","64.200","65.050","64.200","1,12M","1,05%"
"12/10/2016","64.250","64.000","64.350","63.300","1,09M","-0,39%"
"11/10/2016","64.500","65.100","65.475","64.000","1,03M","-0,81%"
"10/10/2016","65.025","65.900","65.900","65.000","302,10K","-1,33%"
"07/10/2016","65.900","67.000","67.000","64.800","895,20K","-1,42%"
"06/10/2016","66.850","67.000","67.725","66.500","1,35M","-0,19%"
"05/10/2016","66.975","66.300","67.000","65.800","1,42M","0,00%"
"04/10/2016","66.975","65.000","67.000","64.225","2,12M","3,20%"
"03/10/2016","64.900","62.500","64.900","62.500","1,02M","4,68%"
"30/09/2016","62.000","62.175","64.125","62.000","1,80M","-0,80%"
"29/09/2016","62.500","64.550","64.925","62.025","1,08M","-1,73%"
"28/09/2016","63.600","64.000","64.075","63.300","842,40K","-0,74%"
"27/09/2016","64.075","64.375","64.375","63.425","821,50K","0,12%"
"26/09/2016","64.000","65.200","65.200","63.625","533,80K","-1,73%"
"23/09/2016","65.125","65.125","65.150","64.525","829,00K","0,00%"
"22/09/2016","65.125","64.900","65.275","64.500","1,30M","1,17%"
"21/09/2016","64.375","63.950","64.750","63.050","495,40K","0,66%"
"20/09/2016","63.950","65.025","65.050","63.950","829,90K","-1,65%"
"19/09/2016","65.025","62.900","65.050","62.700","1,60M","4,04%"
"16/09/2016","62.500","62.525","63.000","61.625","879,30K","0,00%"
"15/09/2016","62.500","61.000","62.750","60.600","999,90K","2,46%"
"14/09/2016","61.000","59.825","61.475","59.225","983,30K","1,67%"
"13/09/2016","60.000","61.125","61.125","60.000","1,15M","-1,84%"
"09/09/2016","61.125","62.400","62.400","61.125","1,05M","-2,12%"
"08/09/2016","62.450","63.275","63.275","62.000","1,05M","-1,30%"
"07/09/2016","63.275","64.450","64.600","63.275","1,15M","-1,82%"
"06/09/2016","64.450","64.225","64.650","64.025","778,30K","0,70%"
"05/09/2016","64.000","63.550","64.475","63.550","599,50K","1,11%"
"02/09/2016","63.300","62.575","63.375","62.500","752,50K","1,28%"
"01/09/2016","62.500","64.025","64.025","62.275","1,55M","-2,95%"
"31/08/2016","64.400","64.500","64.650","64.025","1,25M","0,82%"
"30/08/2016","63.875","65.600","65.600","63.500","1,32M","-1,58%"
"29/08/2016","64.900","65.800","66.000","64.850","861,10K","-1,37%"
"26/08/2016","65.800","66.500","66.625","65.500","951,60K","-1,53%"
"25/08/2016","66.825","66.300","66.850","65.100","1,75M","0,79%"
"24/08/2016","66.300","66.500","67.400","66.100","892,30K","-1,04%"
"23/08/2016","67.000","66.750","67.000","65.700","1,67M","-0,22%"
"22/08/2016","67.150","68.000","68.100","66.600","1,47M","-1,29%"
"19/08/2016","68.025","67.800","68.775","67.300","2,14M","0,78%"
"18/08/2016","67.500","65.500","68.675","65.350","4,51M","4,17%"
"16/08/2016","64.800","65.175","65.750","64.650","1,09M","-0,19%"
"15/08/2016","64.925","65.950","66.125","64.400","1,08M","-1,48%"
"12/08/2016","65.900","66.900","66.900","65.850","1,03M","-0,15%"
"11/08/2016","66.000","66.475","66.925","65.800","1,15M","-0,34%"
"10/08/2016","66.225","65.600","66.500","65.500","1,52M","1,11%"
"09/08/2016","65.500","66.825","67.000","65.100","2,60M","-1,91%"
"08/08/2016","66.775","68.025","68.475","66.650","2,07M","-1,51%"
"05/08/2016","67.800","69.000","69.600","67.500","2,33M","-1,53%"
"04/08/2016","68.850","68.600","68.900","68.325","953,40K","0,00%"
"03/08/2016","68.850","69.250","69.550","68.325","2,31M","-0,61%"
"02/08/2016","69.275","68.125","69.650","68.125","2,05M","1,69%"
"01/08/2016","68.125","68.000","68.500","67.525","3,53M","0,89%"
"29/07/2016","67.525","69.000","69.800","67.525","3,64M","-1,85%"
"28/07/2016","68.800","69.500","70.300","67.850","3,81M","-0,58%"
"27/07/2016","69.200","71.000","71.750","69.200","2,92M","-2,54%"
"26/07/2016","71.000","74.975","75.000","71.000","3,82M","-5,33%"
"25/07/2016","75.000","77.700","77.900","75.000","914,90K","-3,23%"
"22/07/2016","77.500","77.100","77.850","75.500","662,90K","0,52%"
"21/07/2016","77.100","76.300","77.950","76.300","1,22M","2,77%"
"20/07/2016","75.025","72.000","75.150","71.700","3,00M","4,35%"
"19/07/2016","71.900","71.500","72.000","70.050","1,66M","0,95%"
"18/07/2016","71.225","70.400","71.225","69.600","842,40K","1,17%"
"15/07/2016","70.400","72.750","73.250","69.575","1,94M","-2,39%"
"14/07/2016","72.125","72.500","73.500","70.450","1,10M","-0,17%"
"13/07/2016","72.250","70.500","72.475","70.500","2,18M","2,88%"
"12/07/2016","70.225","72.250","75.000","70.100","2,96M","-2,47%"
"11/07/2016","72.000","69.500","73.000","69.150","3,13M","5,49%"
"01/07/2016","68.250","69.400","69.400","68.175","1,28M","-1,09%"
"30/06/2016","69.000","68.050","69.175","67.700","1,88M","1,58%"
"29/06/2016","67.925","67.000","67.925","66.650","1,94M","-1,16%"
"28/06/2016","68.725","66.000","68.725","66.000","4,94M","4,48%"
"27/06/2016","65.775","66.000","66.000","65.300","792,00K","-0,34%"
"24/06/2016","66.000","65.950","66.025","63.550","1,08M","0,84%"
"23/06/2016","65.450","66.900","66.900","64.950","1,28M","-1,39%"
"22/06/2016","66.375","66.500","67.500","65.850","1,22M","0,19%"
"21/06/2016","66.250","63.500","67.250","63.500","2,64M","4,50%"
"20/06/2016","63.400","63.950","64.325","63.375","859,80K","0,08%"
"17/06/2016","63.350","63.500","65.225","62.150","2,61M","0,00%"
"16/06/2016","63.350","64.350","64.350","63.075","1,53M","-1,55%"
"15/06/2016","64.350","67.800","67.800","64.025","3,52M","-5,40%"
"14/06/2016","68.025","68.000","69.225","68.000","1,14M","0,18%"
"13/06/2016","67.900","67.700","68.600","67.350","686,90K","0,48%"
"10/06/2016","67.575","68.125","68.575","67.375","1,44M","-0,81%"
"09/06/2016","68.125","69.000","69.300","68.075","609,30K","-2,05%"
"08/06/2016","69.550","70.500","70.600","68.800","914,10K","-1,14%"
"07/06/2016","70.350","70.400","70.400","70.000","922,50K","0,50%"
"06/06/2016","70.000","69.825","70.400","69.625","551,80K","0,61%"
"03/06/2016","69.575","69.200","70.150","69.200","750,50K","0,80%"
"02/06/2016","69.025","69.975","70.300","68.900","781,40K","0,04%"
"01/06/2016","69.000","68.300","70.450","68.300","579,20K","-0,29%"
"31/05/2016","69.200","70.000","70.350","68.475","2,45M","-1,14%"
"30/05/2016","70.000","71.325","71.500","69.975","689,70K","-1,86%"
"27/05/2016","71.325","70.625","71.475","70.500","848,30K","1,89%"
"26/05/2016","70.000","71.000","71.000","69.575","834,60K","-1,41%"
"25/05/2016","71.000","71.500","72.200","70.100","1,20M","-0,21%"
"24/05/2016","71.150","72.300","73.900","71.150","375,40K","-3,75%"
"23/05/2016","73.925","72.050","74.400","71.950","409,60K","1,93%"
"20/05/2016","72.525","70.300","74.100","70.000","470,70K","2,15%"
"19/05/2016","71.000","71.750","72.000","70.425","367,10K","-1,39%"
"18/05/2016","72.000","73.100","73.600","71.150","1,09M","-1,37%"
"17/05/2016","73.000","72.000","73.400","71.800","496,10K","2,53%"
"16/05/2016","71.200","70.800","71.200","70.300","566,90K","-0,04%"
"13/05/2016","71.225","74.050","74.050","70.800","664,00K","-3,49%"
"12/05/2016","73.800","72.000","73.800","71.875","1,41M","4,09%"
"11/05/2016","70.900","71.550","71.750","70.725","544,60K","-0,21%"
"10/05/2016","71.050","68.000","71.750","67.800","1,67M","4,83%"
"09/05/2016","67.775","67.500","68.425","67.300","1,38M","-0,18%"
"04/05/2016","67.900","68.500","68.700","67.325","1,34M","-0,29%"
"03/05/2016","68.100","70.400","70.700","67.650","1,38M","-4,89%"
"02/05/2016","71.600","69.300","71.600","68.275","634,80K","3,39%"
"29/04/2016","69.250","70.000","72.300","69.200","1,59M","-3,21%"
"28/04/2016","71.550","70.500","72.000","70.500","1,35M","1,92%"
"27/04/2016","70.200","69.200","70.225","69.200","1,54M","1,45%"
"26/04/2016","69.200","68.000","69.200","67.625","956,20K","1,76%"
"25/04/2016","68.000","66.500","68.050","66.300","1,07M","1,49%"
"22/04/2016","67.000","66.250","68.000","65.875","1,20M","2,29%"
"21/04/2016","65.500","65.800","66.025","65.400","759,80K","-0,53%"
"20/04/2016","65.850","66.500","66.500","65.200","1,22M","-1,61%"
"19/04/2016","66.925","67.300","67.300","66.550","261,40K","-0,11%"
"18/04/2016","67.000","65.000","67.000","64.775","856,30K","3,08%"
"15/04/2016","65.000","65.500","65.625","64.200","743,40K","-0,76%"
"14/04/2016","65.500","67.500","67.500","65.500","866,20K","-2,09%"
"13/04/2016","66.900","67.800","68.000","66.050","948,20K","-0,89%"
"12/04/2016","67.500","66.025","67.500","66.000","1,30M","2,27%"
"11/04/2016","66.000","66.700","66.700","65.550","510,50K","0,00%"
"08/04/2016","66.000","66.800","67.350","65.225","1,31M","-1,71%"
"07/04/2016","67.150","67.750","68.600","66.475","1,47M","0,22%"
"06/04/2016","67.000","67.900","68.300","66.850","1,10M","0,64%"
"05/04/2016","66.575","66.525","67.400","66.350","1,50M","1,02%"
"04/04/2016","65.900","65.200","67.775","65.000","1,77M","1,07%"
"01/04/2016","65.200","65.500","65.625","64.425","1,94M","-0,15%"
"31/03/2016","65.300","64.200","66.500","64.000","3,58M","3,98%"
"30/03/2016","62.800","61.425","62.950","60.650","1,63M","2,95%"
"29/03/2016","61.000","59.000","61.225","59.000","1,25M","2,87%"
"28/03/2016","59.300","60.500","60.750","59.150","769,90K","-2,19%"
"24/03/2016","60.625","60.900","61.450","60.550","1,05M","-0,86%"
"23/03/2016","61.150","59.500","61.150","58.750","1,46M","3,12%"
"22/03/2016","59.300","60.000","61.650","59.025","1,98M","-2,47%"
"21/03/2016","60.800","61.000","61.800","59.900","1,31M","-0,33%"
"18/03/2016","61.000","62.500","63.400","59.875","2,86M","-2,40%"
"17/03/2016","62.500","63.500","64.375","61.950","1,65M","-0,79%"
"16/03/2016","63.000","64.500","64.725","62.925","1,68M","-3,96%"
"15/03/2016","65.600","65.900","66.000","65.000","455,40K","-0,46%"
"14/03/2016","65.900","65.500","66.250","65.325","865,10K","1,38%"
"11/03/2016","65.000","65.575","65.575","63.950","648,50K","-0,88%"
"10/03/2016","65.575","63.150","65.575","61.500","1,15M","3,84%"
"08/03/2016","63.150","64.800","64.950","62.625","1,44M","-2,88%"
"07/03/2016","65.025","66.500","67.375","64.350","683,10K","-1,77%"
"04/03/2016","66.200","66.400","66.400","65.425","557,60K","0,30%"
"03/03/2016","66.000","64.550","66.200","64.550","999,30K","2,25%"
"02/03/2016","64.550","63.700","65.625","63.000","1,89M","2,18%"
"01/03/2016","63.175","63.375","63.675","62.800","1,00M","-0,82%"
